2026-07-18 00:44:29 configure mawk:amd64 1.3.4.20250131-1 <none>
2026-07-18 00:44:29 status unpacked mawk:amd64 1.3.4.20250131-1
2026-07-18 00:44:29 status half-configured mawk:amd64 1.3.4.20250131-1
2026-07-18 00:44:29 status installed mawk:amd64 1.3.4.20250131-1
2026-07-18 00:44:29 configure libdebconfclient0:amd64 0.280 <none>
2026-07-18 00:44:29 status unpacked libdebconfclient0:amd64 0.280
2026-07-18 00:44:29 status half-configured libdebconfclient0:amd64 0.280
2026-07-18 00:44:29 status installed libdebconfclient0:amd64 0.280
2026-07-18 00:44:29 configure base-files:amd64 13.8+deb13u6 <none>
2026-07-18 00:44:29 status unpacked base-files:amd64 13.8+deb13u6
2026-07-18 00:44:29 status half-configured base-files:amd64 13.8+deb13u6
2026-07-18 00:44:29 status installed base-files:amd64 13.8+deb13u6
2026-07-18 00:44:29 configure libbz2-1.0:amd64 1.0.8-6 <none>
2026-07-18 00:44:29 status unpacked libbz2-1.0:amd64 1.0.8-6
